30 SetColor
FF R
00 G
FF B
FF A
45 BaseMetabolicRate
01
39 SetTopSpeed
80 TopSpeed
50 UpdateBlock
04 Size
90 ChaseObject
00 Address (Food)
80 Speed (50%)
A4 TargetOrganism
FF Range
01 Capacity
00 Address
00 SkipIfNoTargets
A0 TargetFood
80 Range
01 Capacity
00 Address
00 SkipIfNoTargets
20 AttackOrganism
02 BlockLength
00 Address
00 DeadGoto
02 TooFarGoto
02 NotTargetGoto
10 DnaSampleSize
F0 RelationThreshold
FF AttackForce
A0 TargetFood
80 Range
01 Capacity
00 Address
01 SkipIfNoTargets
40 SmoothColorChange
00 R
00 G
FF B
FF A
02 ChangeTime
10 EatFood
02 BlockLength
00 Address
02 SkipIfTooFar
02 SkipIfDead
40 SmoothColorChange
00 R
FF G
00 B
FF A
02 ChangeTime
80 Parthenogenesis
04 Threshold
A0 ChildSize
00 BirthSkip
00 DefaultSkip
